Date/Time,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
2012-03-03 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,09:00,3.0,,-1.0,,75,,16.0,,37,,24.1,,98.7,,,,,,Cloudy
2012-03-03 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,10:00,3.7,,0.4,,79,,21.0,,15,,24.1,,98.86,,,,,,Cloudy
2012-03-03 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,11:00,4.0,,-0.7,,71,,23.0,,32,,24.1,,98.82,,,,,,Rain Showers
2012-03-03 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,12:00,5.2,,-3.0,,55,,22.0,,37,,48.3,,98.82,,,,,,Mostly Cloudy
2012-03-03 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,13:00,5.8,,-4.0,,49,,23.0,,50,,48.3,,98.73,,,,,,Mostly Cloudy
2012-03-03 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,14:00,6.5,,-5.5,,42,,24.0,,48,,48.3,,98.68,,,,,,Mostly Cloudy
2012-03-03 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,15:00,5.3,,-5.6,,45,,23.0,,57,,24.1,,98.67,,,,,,Mostly Cloudy
2012-03-03 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,16:00,5.0,,-5.0,,48,,23.0,,63,,48.3,,98.67,,,,,,Mainly Clear
2012-03-03 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,17:00,4.3,,-4.9,,51,,23.0,,57,,48.3,,98.71,,,,,,Mainly Clear
2012-03-03 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,18:00,3.7,,-4.3,,56,,23.0,,48,,25.0,,98.82,,,,,,Mostly Cloudy
2012-03-03 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,19:00,3.4,,-4.0,,58,,23.0,,44,,25.0,,98.92,,,,,,Mainly Clear
2012-03-03 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,20:00,3.2,,-3.9,,60,,22.0,,50,,25.0,,98.96,,,,,,Mainly Clear
2012-03-03 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,21:00,2.9,,-3.6,,62,,23.0,,46,,25.0,,98.98,,,,,,Snow
2012-03-03 22:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,22:00,2.8,,-3.4,,64,,24.0,,57,,25.0,,99.07,,,,,,Snow
2012-03-03 23:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,3,23:00,2.3,,-3.1,,67,,25.0,,33,,25.0,,99.18,,,,,,Snow
2012-03-04 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,00:00,0.5,,-4.8,,68,,28.0,,32,,25.0,,99.34,,,,,,Mostly Cloudy
2012-03-04 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,01:00,-0.8,,-6.0,,68,,27.0,,24,,25.0,,99.46,,,,-7.0,,Mostly Cloudy
2012-03-04 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,02:00,-1.8,,-7.8,,64,,27.0,,26,,25.0,,99.56,,,,-8.0,,Mostly Cloudy
2012-03-04 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,03:00,-2.1,,-8.2,,63,,27.0,,19,,25.0,,99.63,,,,-8.0,,Mostly Cloudy
2012-03-04 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,04:00,-2.9,,-9.0,,63,,30.0,,20,,25.0,,99.7,,,,-9.0,,Mostly Cloudy
2012-03-04 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,05:00,-4.3,,-10.5,,62,,32.0,,19,,25.0,,99.77,,,,-10.0,,Cloudy
2012-03-04 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,06:00,-4.8,,-11.6,,59,,28.0,,17,,25.0,,99.84,,,,-11.0,,Mostly Cloudy
2012-03-04 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,07:00,-5.7,,-12.6,,58,,29.0,,22,,24.1,,99.88,,,,-13.0,,Mostly Cloudy
2012-03-04 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,08:00,-5.9,,-13.8,,54,,27.0,,13,,24.1,,99.97,,,,-11.0,,Mostly Cloudy
2012-03-04 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,09:00,-6.3,,-13.5,,57,,30.0,,15,,24.1,,99.95,,,,-12.0,,Cloudy
2012-03-04 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,10:00,-6.3,,-13.5,,57,,27.0,,17,E,24.1,,99.95,,,,-13.0,E,Cloudy
2012-03-04 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,11:00,-6.5,,-14.0,,55,,29.0,,17,,24.1,,99.96,,,,-13.0,,Cloudy
2012-03-04 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,12:00,-5.8,,-12.9,,57,,28.0,,19,,48.3,,99.95,,,,-12.0,,Mostly Cloudy
2012-03-04 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,13:00,-5.5,,-12.8,,56,,28.0,,19,,48.3,,99.88,,,,-12.0,,Mainly Clear
2012-03-04 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,14:00,-5.7,,-13.4,,55,,28.0,,19,,48.3,,99.9,,,,-12.0,,Mostly Cloudy
2012-03-04 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,15:00,-5.6,,-13.5,,54,,27.0,,22,,48.3,,99.9,,,,-13.0,,Mostly Cloudy
2012-03-04 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,16:00,-5.5,,-13.3,,54,,27.0,,20,,48.3,,99.93,,,,-12.0,,Mainly Clear
2012-03-04 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,17:00,-6.9,,-14.6,,54,,28.0,,22,,48.3,,99.94,,,,-14.0,,Mainly Clear
2012-03-04 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,18:00,-7.9,,-15.7,,53,,27.0,,28,,25.0,,100.04,,,,-17.0,,Mainly Clear
2012-03-04 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,19:00,-7.9,,-15.5,,54,,27.0,,22,,25.0,,100.09,,,,-16.0,,Mostly Cloudy
2012-03-04 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,20:00,-8.5,,-14.6,,61,,28.0,,24,,25.0,,100.13,,,,-17.0,,Cloudy
2012-03-04 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,21:00,-9.0,,-13.7,,69,,27.0,,15,,25.0,,100.18,,,,-16.0,,Snow Showers
2012-03-04 22:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,22:00,-10.1,,-15.5,,65,,29.0,,17,,25.0,,100.21,,,,-17.0,,Cloudy
2012-03-04 23:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,4,23:00,-11.1,,-16.3,,65,,27.0,,24,,25.0,,100.23,,,,-20.0,,Mostly Cloudy
2012-03-05 00:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,00:00,-12.4,,-17.4,,66,,27.0,,19,,25.0,,100.26,,,,-21.0,,Mainly Clear
2012-03-05 01:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,01:00,-13.6,,-18.5,,66,,27.0,,24,,25.0,,100.33,,,,-23.0,,Mainly Clear
2012-03-05 02:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,02:00,-14.5,,-22.3,,52,,27.0,,24,,25.0,,100.39,,,,-24.0,,Clear
2012-03-05 03:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,03:00,-15.0,,-21.5,,58,,27.0,,22,,25.0,,100.47,,,,-25.0,,Clear
2012-03-05 04:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,04:00,-15.5,,-21.9,,58,,27.0,,26,,25.0,,100.55,,,,-26.0,,Clear
2012-03-05 05:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,05:00,-15.9,,-22.1,,59,,26.0,,20,,25.0,,100.69,,,,-25.0,,Clear
2012-03-05 06:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,06:00,-16.2,,-22.6,,58,,26.0,,26,,24.1,,100.77,,,,-27.0,,Mostly Cloudy
2012-03-05 07:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,07:00,-16.2,,-22.3,,59,,27.0,,22,,24.1,,100.88,,,,-26.0,,Mostly Cloudy
2012-03-05 08:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,08:00,-15.7,,-22.5,,56,,27.0,,24,,24.1,,101.0,,,,-26.0,,Mostly Cloudy
2012-03-05 09:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,09:00,-15.1,,-22.1,,55,,27.0,,24,,24.1,,101.11,,,,-25.0,,Mostly Cloudy
2012-03-05 10:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,10:00,-14.4,,-21.5,,55,,27.0,,26,,24.1,,101.21,,,,-25.0,,Mostly Cloudy
2012-03-05 11:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,11:00,-13.4,,-20.7,,54,,27.0,,26,,48.3,,101.31,,,,-23.0,,Mostly Cloudy
2012-03-05 12:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,12:00,-12.2,,-19.9,,53,,27.0,,6,,48.3,,101.39,,,,-16.0,,Mostly Cloudy
2012-03-05 13:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,13:00,-11.3,,-19.5,,51,,27.0,,24,,48.3,,101.46,,,,-20.0,,Mostly Cloudy
2012-03-05 14:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,14:00,-10.8,,-19.8,,47,,25.0,,28,,48.3,,101.55,,,,-20.0,,Mostly Cloudy
2012-03-05 15:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,15:00,-10.0,,-18.6,,49,,24.0,,30,,48.3,,101.64,,,,-20.0,,Mostly Cloudy
2012-03-05 16:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,16:00,-9.9,,-18.9,,48,,25.0,,26,,48.3,,101.73,,,,-19.0,,Mostly Cloudy
2012-03-05 17:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,17:00,-9.5,,-18.8,,47,,25.0,,24,,48.3,,101.82,,,,-18.0,,Mainly Clear
2012-03-05 18:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,18:00,-9.8,,-19.0,,47,,25.0,,22,,25.0,,101.9,,,,-18.0,,Mainly Clear
2012-03-05 19:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,19:00,-10.1,,-19.1,,48,,26.0,,20,,25.0,,102.01,,,,-18.0,,Clear
2012-03-05 20:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,20:00,-10.5,,-19.2,,49,,27.0,,17,,25.0,,102.11,,,,-18.0,,Mainly Clear
2012-03-05 21:00:00,-73.75,45.47,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,7025250,2012,3,5,21:00,-11.0,,-19.6,,49,,27.0,,17,,25.0,,102.23,,,,-18.0,,Clear
